"admUnitFiveId","name","admUnitFourId"
10060747475,"Ichhapur","10060747"
10060747661,"Mangalsi","10060747"
10060747718,"Paschim Char Raghunathdi","10060747"
10060747795,"Purbachar Ragunathdi","10060747"
10060747840,"Raghunathdi","10060747"
10060754077,"Baligram","10060754"
10060754102,"Bara Gharia","10060754"
10060754141,"Bhandarikati","10060754"
10060754198,"Char Auliapur","10060754"
10060754231,"Char Samasdi Baligram","10060754"
10060754346,"Deuli","10060754"
10060754372,"Dingarhat","10060754"
10060754404,"Gabhikhola","10060754"
10060754410,"Garuria","10060754"
10060754462,"Helencha","10060754"
10060754468,"Hiradhar","10060754"
10060754487,"Junia","10060754"
10060754526,"Kakuria","10060754"
10060754577,"Kati Para","10060754"
10060754584,"Khairabad","10060754"
10060754674,"Meur","10060754"
10060754699,"Nilganj","10060754"
10060754834,"Rabipur","10060754"
10060754879,"Runsi Pashuri","10060754"
10060754898,"Sahebpur","10060754"
10060761295,"Chunakhali","10060761"
10060761359,"Dhola","10060761"
10060761455,"Hanua","10060761"
10060761507,"Kabai","10060761"
10060761545,"Kalerkati","10060761"
10060761596,"Khodabaksha Kati","10060761"
10060761677,"Machhuakhali","10060761"
10060761808,"Purba Lakshmi Pasha","10060761"
10060761828,"Piarpur","10060761"
10060761924,"Sialghuni","10060761"
10060761937,"Sonakanda","10060761"
10060767044,"Baghdia","10060767"
10060767128,"Bebaz","10060767"
10060767269,"Chhota Dudhal","10060767"
10060767304,"Dakshin Narangal","10060767"
10060767320,"Dakshin Sadish","10060767"
10060767353,"Dhaparkati","10060767"
10060767365,"Diatali","10060767"
10060767442,"Guria","10060767"
10060767539,"Kalaskati","10060767"
10060767622,"Khudrakati","10060767"
10060767802,"Purba Durgapur","10060767"
10060767885,"Sadish Amtali","10060767"
10060767994,"Uttar Narangal","10060767"
10060774006,"Afalkati","10060774"
10060774211,"Char Gazalia","10060774"
10060774667,"Maukaran","10060774"
10060774680,"Nalua","10060774"
10060774892,"Saflakhali","10060774"
10060781282,"Chhota Puiautha","10060781"
10060781519,"Kafila","10060781"
10060781616,"Krishnanagar","10060781"
10060781641,"Maheshpur","10060781"
10060781648,"Maheshpur Khas","10060781"
10060781693,"Niamati","10060781"
10060781738,"Paschim Krishnanagar","10060781"
10060781751,"Paschim Maheshpur","10060781"
10060781783,"Porachina","10060781"
10060781815,"Purba Maheshpur (Part)","10060781"
10060781860,"Ramnagar","10060781"
10060781969,"Tengrakhali","10060781"
10060788025,"Arai Beki","10060788"
10060788109,"Bara Puiautha","10060788"
10060788134,"Bhabanipur","10060788"
10060788288,"Chhota Raghunathpur","10060788"
10060788308,"Dakshin Kati","10060788"
10060788706,"Padri Shibpur","10060788"
10060788712,"Par Shibpur","10060788"
10060788731,"Paschim Durgapur","10060788"
10060788818,"Purba Maheshpur (Part)","10060788"
10060788847,"Raghunathpur","10060788"
10060788917,"Shakbania","10060788"
10060788988,"Uttarkati","10060788"
10060794051,"Bhadurpur","10060794"
10060794073,"Bakarkati","10060794"
10060794121,"Baria","10060794"
10060794173,"Biharipur","10060794"
10060794179,"Birangal","10060794"
10060794193,"Boalia","10060794"
10060794327,"Daokati","10060794"
10060794414,"Imamkati","10060794"
10060794571,"Kanthalia","10060794"
10060794635,"Lochanabad","10060794"
10060794686,"Nanda Para","10060794"
10060794770,"Phalaghar","10060794"
10060794853,"Rajapur","10060794"
10060794866,"Rangasree (Part)","10060794"
10060794873,"Runsi (Part)","10060794"
10060794930,"Sobhakati","10060794"
10060794948,"Tabirkati","10060794"
10060794956,"Shyampur","10060794"
10061001162,"Banari Para Bandar Uttarpur","10061001"
10061002182,"Banari Para Bazar","10061002"
10061002821,"Nazipur Dakshin","10061002"
10061003196,"Tamaltolae","10061003"
10061003533,"Girls School Para","10061003"
10061004211,"Bania Bari Para","10061004"
10061004314,"Dackbanglo Para","10061004"
10061005254,"Bayratola","10061005"
10061005624,"Office Para","10061005"
10061006759,"Hospital Para","10061006"
10061006875,"Kumar Para","10061006"
10061007520,"Gain Bari Para","10061007"
10061008565,"Kalibari Para","10061008"
10061008736,"Royer Hat","10061008"
10061009210,"College Para","10061009"
10061009832,"T & T Office Para","10061009"
10061010012,"Alta","10061010"
10061010245,"Brahmankati","10061010"
10061010363,"Gaba","10061010"
10061010503,"Jambu Dip","10061010"
10061010555,"Kajalhar","10061010"
10061010659,"Machhrang","10061010"
10061010669,"Narerkati","10061010"
10061010827,"Rajakpur","10061010"
10061021064,"Baisari","10061021"
10061021103,"Bali Para","10061021"
10061021335,"Dattarhat (Dandoat)","10061021"
10061021374,"Datta Para","10061021"
10061021413,"Dumuria","10061021"
10061021426,"Garduar","10061021"
10061021529,"Kachua","10061021"
10061021839,"Ramgati (Barangati)","10061021"
10061021917,"Sialkati","10061021"
10061021994,"Uttarkul","10061021"
10061031232,"Bisarkandi","10061031"
10061031542,"Kadambari","10061031"
10061031568,"Kalabhita","10061031"
10061031723,"Marichbunia","10061031"
10061031749,"Murarbari","10061031"
10061031982,"Umarerpar","10061031"
10061042025,"Asurail","10061042"
10061042051,"Baghra","10061042"
10061042077,"Balahar","10061042"
10061042090,"Baliarkati","10061042"
10061042129,"Bara Bhautsar","10061042"
10061042142,"Bara Chaulakati","10061042"
10061042258,"Chakhar","10061042"
10061042271,"Chalitabari","10061042"
10061042297,"Chhota Bhautsar","10061042"
10061042310,"Chhota Chaulakati","10061042"
10061042323,"Chira Para","10061042"
10061042361,"Darikar","10061042"
10061042439,"Ghata Para","10061042"
10061042516,"Jangalia","10061042"
10061042607,"Khalisakota","10061042"
10061042814,"Purba Jirarkati","10061042"
10061042878,"Sakral","10061042"
10061042930,"Sonar","10061042"
10061052478,"Iluhar","10061052"
10061052710,"Maluhar","10061052"
10061063180,"Basar","10061063"
10061063206,"Betal","10061063"
10061063284,"Chauari Para","10061063"
10061063387,"Dharalia","10061063"
10061063452,"Goailbari","10061063"
10061063594,"Khajurbari","10061063"
10061063620,"Krishnapur","10061063"
10061063671,"Madarkati","10061063"
10061063684,"Mahish Pota","10061063"
10061063788,"Narottampur","10061063"
10061063865,"Sakharia","10061063"
10061063891,"Salia Bakpur","10061063"
10061073038,"Auar","10061073"
10061073155,"Brahmanbari","10061073"
10061073167,"Bara Karfakar","10061073"
10061073193,"Bawalia","10061073"
10061073219,"Bhanan","10061073"
10061073348,"Dariabad","10061073"
10061073400,"Didihar","10061073"
10061073491,"Indurhaola","10061073"
10061073581,"Karpara","10061073"
10061073697,"Malikanda","10061073"
10061073736,"Masjidbari","10061073"
10061073775,"Nalasree","10061073"
10061073801,"Paschim Jirarkati","10061073"
10061073852,"Saidkati","10061073"
10061073904,"Satbaria","10061073"
10061073943,"Talaprasad","10061073"
10061084465,"Goalia","10061084"
10061084646,"Labansara","10061084"
10061084956,"Tetla","10061084"
10061084969,"Udaykati","10061084"
10063201887,"Sundardi","10063201"
10063202725,"Purba Bara Kasba","10063202"
10063202735,"Purba Lageraj (Kasba)","10063202"
10063202911,"Tarkir Char","10063202"
10063203088,"Baniasuri","10063203"
10063203553,"Paschim Lageraj (Kasba)","10063203"
10063203710,"Paschim Bara Kasba","10063203"
10063204303,"Dakshin Palordi (Uttar)","10063204"
