"admUnitFourId","name","area","admUnitThreeId"
10785775,"Kalagachhia Union ",6884,"107857"
10785778,"Panpatty Union ",7185,"107857"
10785783,"Rangabali Union ",26843,"107857"
10785794,"Ratandi Taltali Union Tota",7396,"107857"
10786601,"Ward No-01 ",NA,"107866"
10786602,"Ward No-02 ",NA,"107866"
10786603,"Ward No-03 ",NA,"107866"
10786604,"Ward No-04 ",NA,"107866"
10786605,"Ward No-05 ",NA,"107866"
10786606,"Ward No-06 ",NA,"107866"
10786607,"Ward No-07 ",NA,"107866"
10786608,"Ward No-08 ",NA,"107866"
10786609,"Ward No-09 ",NA,"107866"
10786610,"Baliatali Union ",11148,"107866"
10786611,"Chakamaiya Union ",8496,"107866"
10786615,"Dalbuganj Union ",6004,"107866"
10786623,"Mohipur Union ",7025,"107866"
10786629,"Dhulasar Union ",12713,"107866"
10786635,"Lalua Union ",9528,"107866"
10786647,"Lata Chapli Union ",15544,"107866"
10786655,"Dhankhali Union ",9948,"107866"
10786659,"Mithaganj Union ",7348,"107866"
10786661,"Ward No-01 (Kuakata) ",NA,"107866"
10786662,"Ward No-02 ",NA,"107866"
10786663,"Ward No-03 ",NA,"107866"
10786664,"Ward No-04 ",NA,"107866"
10786665,"Ward No-05 ",NA,"107866"
10786666,"Ward No-06 ",NA,"107866"
10786667,"Ward No-07 ",NA,"107866"
10786668,"Ward No-08 ",NA,"107866"
10786669,"Ward No-09 ",NA,"107866"
10786671,"Nilganj Union ",15648,"107866"
10786683,"Tiakhali Union ",8126,"107866"
10787613,"Amragachhia Union ",7470,"107876"
10787627,"Deuli Subidkhali Union Tot",6394,"107876"
10787640,"Kakrabunia Union ",6626,"107876"
10787654,"Madhabkhali Union ",6995,"107876"
10787667,"Majidbari Union ",6202,"107876"
10787681,"Mirzaganj Union ",7625,"107876"
10789501,"Ward No-01 ",NA,"107895"
10789502,"Ward No-02 ",NA,"107895"
10789503,"Ward No-03 ",NA,"107895"
10789504,"Ward No-04 ",NA,"107895"
10789505,"Ward No-05 ",NA,"107895"
10789506,"Ward No-06 ",NA,"107895"
10789507,"Ward No-07 ",NA,"107895"
10789508,"Ward No-08 ",NA,"107895"
10789509,"Ward No-09 ",NA,"107895"
10789510,"Auliapur Union ",7358,"107895"
10789511,"Badarpur Union ",5460,"107895"
10789513,"Chhota Bighai Union Tota",7000,"107895"
10789520,"Itabaria Union ",6823,"107895"
10789527,"Jainkati Union ",6252,"107895"
10789531,"Bara Bighai Union ",7349,"107895"
10789533,"Kalikapur Union ",3573,"107895"
10789540,"Kamalapur Union ",11858,"107895"
10789554,"Lohalia Union ",7342,"107895"
10789561,"Laukati Union ",8380,"107895"
10789567,"Madarbunia Union ",8151,"107895"
10789574,"Marichbunia Union ",6892,"107895"
10791411,"Bhandaria Union ",2841,"107914"
10791423,"Bhitabaria Union ",4647,"107914"
10791435,"Dhaoa Union ",5865,"107914"
10791447,"Gauripur Union ",6354,"107914"
10791459,"Ikri Union ",7130,"107914"
10791471,"Nudmulla Union ",5003,"107914"
10791483,"Telikhali Union ",6340,"107914"
10794715,"Amrajuri Union ",3211,"107947"
10794731,"Chira Para Parsaturia Union T",4002,"107947"
10794747,"Kawkhali Union ",5245,"107947"
10794763,"Sayna Raghunathpur Union T",3351,"107947"
10794779,"Shialkati Union ",3851,"107947"
10795801,"Ward No-01 ",NA,"107958"
10795802,"Ward No-02 ",NA,"107958"
10795803,"Ward No-03 ",NA,"107958"
10795804,"Ward No-04 ",NA,"107958"
10795805,"Ward No-05 ",NA,"107958"
10795806,"Ward No-06 ",NA,"107958"
10795807,"Ward No-07 ",NA,"107958"
10795808,"Ward No-08 ",NA,"107958"
10795809,"Ward No-09 ",NA,"107958"
10795815,"Amragachhia Union ",8658,"107958"
10795817,"Bara Machhua Union ",4172,"107958"
10795825,"Betmore Rajpara Union ",6663,"107958"
10795834,"Daudkhali Union ",7984,"107958"
10795843,"Dhanisafa Union ",8135,"107958"
10795851,"Gulishakhali Union ",7692,"107958"
10795860,"Mathbaria Union ",7841,"107958"
10795869,"Mirukhali Union ",8552,"107958"
10795877,"Sapleza Union ",11902,"107958"
10795886,"Tikikata Union ",8737,"107958"
10795894,"Tushkhali Union ",4727,"107958"
10797610,"Dirgha Union ",6638,"107976"
10797621,"Purba Deulbaridobra Union T",8489,"107976"
10797631,"Malikhali Union ",7396,"107976"
10797642,"Matibhanga Union ",5975,"107976"
10797652,"Nazirpur Union ",5191,"107976"
